ចំណូលថវិការដ្ឋបាលរាជធានី ខេត្ត,សរុបរួមចំណូលថវិកា(ប្រភេទ១+ប្រភេទ២+ប្រភេទ៣), ចំណូលចរន្ត(ប្រភេទ១+ប្រភេទ២) , ប្រភេទ១ ចំណូលសារពើពន្ធ , ប្រភេទ២ ចំណូលមិនមែនសារពើពន្ធ , ប្រភេទ៣ ចំណូលផ្សេងៗ(៣.១+៣.២) , ៣.១ ចំណូលផ្សេងៗក្នុងប្រទេស , ៣.២ ហិរញ្ញប្បទានឥតសំណង 
បន្ទាយមានជ័យ,64436,60736,52167,8569,3700,3700,
បាត់ដំបង,49902,45902,38659,7243,4000,4000,
កំពង់ចាម,38642,34642,25951,8691,4000,4000,
កំពង់ឆ្នាំង,36774,19974,16538,3436,16800,16800,
កំពង់ស្ពឺ,58894,45194,29632,15562,13700,13700,
កំពង់ធំ,36067,18867,15900,2967,17200,17200,
កំពត,44672,34672,28191,6481,10000,10000,
កណ្តាល,157027,153027,101190,51837,4000,4000,
កោះកុង,25432,11932,8640,3292,13500,13500,
ក្រចេះ,30124,18624,8493,10131,11500,11500,
មណ្ឌលគិរី,23041,6541,5303,1238,16500,16500,
ភ្នំពេញ,1666273,1653221,1574473,78748,13052,13052,
ព្រះវិហារ,19256,7756,6500,1256,11500,11500,
ព្រៃវែង,68682,58482,17270,41212,10200,10200,
ពោធិ៍សាត់,21467,15267,12474,2793,6200,6200,
រតនៈគិរី,21535,9035,7127,1908,12500,12500,
សៀមរាប,76691,72691,62270,10421,4000,4000,
ព្រះសីហនុ,138860,135360,120766,14594,3500,3500,
ស្ទឹងត្រែង,17443,5843,4510,1333,11600,11600,
ស្វាយរៀង,43642,30142,25973,4169,13500,13500,
តាកែវ,41694,26094,21366,4728,15600,15600,
ឧត្តរមានជ័យ,20922,7422,5928,1494,13500,13500,
កែប,19704,7204,5704,1500,12500,12500,
ប៉ៃលិន,15153,6653,5419,1234,8500,8500,
ត្បូងឃ្មុំ,29174,22174,18295,3879,7000,7000,
