type,code,name_km,name_en,province_code,district_code
ឃុំ,010201,បន្ទាយនាង,Banteay Neang,01,0102
ឃុំ,010202,បត់ត្រង់,Bat Trang,01,0102
ឃុំ,010203,ចំណោម,Chamnaom,01,0102
ឃុំ,010204,គោកបល្ល័ង្គ,Kouk Ballangk,01,0102
ឃុំ,010205,គយម៉ែង,Koy Maeng,01,0102
ឃុំ,010206,អូរប្រាសាទ,Ou Prasat,01,0102
ឃុំ,010207,ភ្នំតូច,Phnum Touch,01,0102
ឃុំ,010208,រហាត់ទឹក,Rohat Tuek,01,0102
ឃុំ,010209,ឫស្សីក្រោក,Ruessei Kraok,01,0102
ឃុំ,010210,សំបួរ,Sambuor,01,0102
ឃុំ,010211,សឿ,Soea,01,0102
ឃុំ,010212,ស្រះរាំង,Srah Reang,01,0102
ឃុំ,010213,តាឡំ,Ta Lam,01,0102
ឃុំ,010301,ណាំតៅ,Nam Tau,01,0103
ឃុំ,010302,ប៉ោយចារ,Poy Char,01,0103
ឃុំ,010303,ពន្លៃ,Ponley,01,0103
ឃុំ,010304,ស្ពានស្រែង,Spean Sraeng,01,0103
ឃុំ,010305,ស្រះជីក,Srah Chik,01,0103
ឃុំ,010306,ភ្នំដី,Phnum Dei,01,0103
ឃុំ,010401,ឈ្នួរមានជ័យ,Chnuor Mean Chey,01,0104
ឃុំ,010402,ជប់វារី,Chob Vari,01,0104
ឃុំ,010403,ភ្នំលៀប,Phnum Lieb,01,0104
ឃុំ,010404,ប្រាសាទ,Prasat,01,0104
ឃុំ,010405,ព្រះនេត្រព្រះ,Preak Netr Preah,01,0104
ឃុំ,010406,រហាល,Rohal,01,0104
ឃុំ,010407,ទានកាំ,Tean Kam,01,0104
ឃុំ,010408,ទឹកជោរ,Tuek Chour,01,0104
ឃុំ,010409,បុស្បូវ,Bos Sbov,01,0104
ឃុំ,010501,ចង្ហា,Changha,01,0105
ឃុំ,010502,កូប,Koub,01,0105
ឃុំ,010503,គុត្ដសត,Kuttasat,01,0105
ឃុំ,010505,សំរោង,Samraong,01,0105
ឃុំ,010506,សូភី,Souphi,01,0105
ឃុំ,010507,សឹង្ហ,Soengh,01,0105
ឃុំ,010509,អូរបីជាន់,Ou Beichoan,01,0105
សង្កាត់,010602,កំពង់ស្វាយ,Kampong Svay,01,0106
សង្កាត់,010603,កោះពងសត្វ,Kaoh Pong Satv,01,0106
សង្កាត់,010604,ម្កាក់,Mkak,01,0106
សង្កាត់,010605,អូរអំបិល,Ou Ambel,01,0106
សង្កាត់,010606,ភ្នៀត,Phniet,01,0106
សង្កាត់,010607,ព្រះពន្លា,Preah Ponlea,01,0106
សង្កាត់,010608,ទឹកថ្លា,Tuek Thla,01,0106
ឃុំ,010701,បន្ទាយឆ្មារ,Banteay Chhmar,01,0107
ឃុំ,010702,គោករមៀត,Kouk Romiet,01,0107
ឃុំ,010703,ភូមិថ្មី,Phum Thmei,01,0107
ឃុំ,010704,ថ្មពួក,Thma Puok,01,0107
ឃុំ,010705,គោកកឋិន,Kouk Kakthen,01,0107
ឃុំ,010706,គំរូ,Kumru,01,0107
ឃុំ,010801,ផ្គាំ,Phkoam,01,0108
ឃុំ,010802,សារង្គ,Sarongk,01,0108
ឃុំ,010803,ស្លក្រាម,Sla Kram,01,0108
ឃុំ,010804,ស្វាយចេក,Svay Chek,01,0108
ឃុំ,010805,តាបែន,Ta Baen,01,0108
ឃុំ,010806,តាផូ,Ta Phou,01,0108
ឃុំ,010807,ទ្រាស,Treas,01,0108
ឃុំ,010808,រលួស,Roluos,01,0108
ឃុំ,010901,បឹងបេង,Boeng Beng,01,0109
ឃុំ,010902,ម៉ាឡៃ,Malai,01,0109
ឃុំ,010903,អូរសំព័រ,Ou Sampoar,01,0109
ឃុំ,010904,អូរស្រឡៅ,Ou Sralau,01,0109
ឃុំ,010905,ទួលពង្រ,Tuol Pongro,01,0109
ឃុំ,010906,តាគង់,Ta Kong,01,0109
សង្កាត់,011001,និមិត្ដ,Nimitt,01,0110
សង្កាត់,011002,ប៉ោយប៉ែត,Paoy Paet,01,0110
សង្កាត់,011003,ផ្សារកណ្តាល,Phsar Kandal,01,0110
ឃុំ,020101,កន្ទឺ ១,Kantueu Muoy,02,0201
ឃុំ,020102,កន្ទឺ ២,Kantueu Pir,02,0201
ឃុំ,020103,បាយដំរាំ,Bay Damram,02,0201
ឃុំ,020104,ឈើទាល,Chheu Teal,02,0201
ឃុំ,020105,ចែងមានជ័យ,Chaeng Mean Chey,02,0201
ឃុំ,020106,ភ្នំសំពៅ,Phnum Sampov,02,0201
ឃុំ,020107,ស្នឹង,Snoeng,02,0201
ឃុំ,020108,តាគ្រាម,Ta Kream,02,0201
ឃុំ,020201,តាពូង,Ta Pung,02,0202
ឃុំ,020202,តាម៉ឺន,Ta Meun,02,0202
ឃុំ,020203,អូរតាគី,Ou Ta Ki,02,0202
ឃុំ,020204,ជ្រៃ,Chrey,02,0202
